placement_id,shape_index,x_mm,y_mm,z_mm,theta_deg,radius_mm,protrusion_um
1,91,24.999992654,0.009721944,-0.005501241,0.022281,24.999995,0.5239
2,93,24.999954026,0.015669536,-0.005501241,0.035912,24.999959,0.2706
3,88,24.999946362,0.027564747,-0.005501241,0.063174,24.999962,0.6152
4,56,24.999435215,0.033511673,-0.005501241,0.076805,24.999458,0.8044
5,10,24.999422815,0.039459148,-0.005501241,0.090436,24.999454,1.5905
6,1,24.999776277,0.063250059,-0.005501241,0.144959,24.999856,3.1767
7,94,24.999827052,0.075145428,-0.005501241,0.172221,24.999940,0.2620
8,90,25.000029260,0.081093717,-0.005501241,0.185852,25.000161,1.0629
9,68,24.999657084,0.092987723,-0.005501241,0.213114,24.999830,0.7103
10,34,24.999549534,0.104882527,-0.005501241,0.240376,24.999770,1.5141
11,86,24.999638107,0.110830539,-0.005501241,0.254007,24.999884,0.4366
12,29,24.999199814,0.116776145,-0.005501241,0.267638,24.999473,1.4950
13,77,24.999679026,0.128673750,-0.005501241,0.294900,25.000010,0.8659
14,22,24.999507542,0.134620531,-0.005501241,0.308531,24.999870,1.5098
15,32,24.999258083,0.146514443,-0.005501241,0.335792,24.999687,0.9166
16,32,24.999183599,0.152461640,-0.005501241,0.349423,24.999649,1.0519
17,59,24.999126985,0.164356589,-0.005501241,0.376685,24.999667,0.7004
18,36,24.999984345,0.170310105,-0.005501241,0.390316,25.000564,2.1873
19,82,24.999150272,0.176252122,-0.005501241,0.403947,24.999772,0.3041
20,66,24.999353404,0.182201322,-0.005501241,0.417578,25.000017,1.0049
21,16,24.999169321,0.188147725,-0.005501241,0.431209,24.999877,1.5079
22,14,24.998629944,0.200038963,-0.005501241,0.458471,24.999430,2.0507
23,11,24.998454790,0.211932866,-0.005501241,0.485733,24.999353,1.3909
24,50,24.998922105,0.223832451,-0.005501241,0.512995,24.999924,1.4571
25,22,24.998616853,0.229777494,-0.005501241,0.526626,24.999673,1.2001
26,31,24.998274872,0.235722072,-0.005501241,0.540256,24.999386,0.7351
27,76,24.998601384,0.241672976,-0.005501241,0.553887,24.999770,0.6116
28,60,24.998362354,0.247618461,-0.005501241,0.567518,24.999589,0.6362
29,85,24.998931655,0.253572060,-0.005501241,0.581149,25.000218,1.1330
30,42,24.998588404,0.259516485,-0.005501241,0.594780,24.999935,1.1990
31,23,24.998652130,0.265465097,-0.005501241,0.608411,25.000062,1.5883
32,64,24.998601117,0.277360524,-0.005501241,0.635673,25.000140,1.2508
33,17,24.997827861,0.283299792,-0.005501241,0.649304,24.999433,1.4782
