placement_id,shape_index,x_mm,y_mm,z_mm,theta_deg,radius_mm,protrusion_um,rot_axis_x,rot_axis_y,rot_axis_z,rot_angle_deg
1,17,24.981065470,0.967126851,-0.001543856,2.217064,24.999779,1.8026,-0.572170,0.737754,-0.358247,103.0848
2,16,24.980816396,0.979396711,-0.004194445,2.245186,25.000008,1.5656,-0.496049,0.564357,-0.659876,122.8817
3,77,24.980356898,0.990039557,-0.001928739,2.269600,24.999968,0.8275,0.309433,0.781269,0.542098,116.8037
4,27,24.979748790,1.005445262,-0.000949172,2.304935,24.999975,1.0358,0.673262,0.351463,0.650532,143.2295
5,62,24.979311926,1.015123374,-0.003453566,2.327138,24.999930,0.6869,-0.585595,0.543805,-0.601127,124.8347
6,82,24.978201158,1.040712719,-0.001998979,2.385839,24.999872,0.4933,-0.367932,0.928344,-0.052953,109.8468
7,87,24.981551981,0.958747215,0.001526418,2.197831,24.999943,0.5651,-0.307881,0.898583,-0.312664,93.4179
8,95,24.980720953,0.981132185,0.004017917,2.249169,24.999981,0.4249,-0.345850,0.868605,-0.354842,82.8650
9,46,24.979792839,1.002827601,0.007617415,2.298936,24.999914,1.0327,-0.552505,0.674592,-0.489555,90.5280
10,17,24.979243283,1.013201754,0.008219216,2.322744,24.999783,1.7471,-0.114724,0.976339,-0.183304,90.7099
11,86,24.978924900,1.023417281,0.007074522,2.346166,24.999881,0.4758,-0.583646,-0.333590,-0.740321,179.0903
12,51,24.978429511,1.035583105,0.007562102,2.374072,24.999887,1.1921,0.351656,0.909761,0.220620,79.6673
