grain_id,source_image,label,touches_border,centroid_x_um,centroid_y_um,area_um2,perimeter_um,equivalent_diameter_um,feret_max_um,feret_min_um,major_axis_um,minor_axis_um,inscribed_radius_um,aspect_ratio,elongation,circularity,solidity,convexity,orientation_deg,n_corners,min_corner_angle_deg,mean_corner_angle_deg,pixel_area,outline_px
1,C:\malav_parikh\sem-abaqus\B4C_18.tif,12,True,28.095663333171746,9.881351497891318,35.41958042,31.142824391050937,6.715475444722532,11.720036624942773,5.0689,10.686494517096087,5.10083575179275,3.318350315093994,2.3121459537459357,0.5675013515561645,0.4589203145052194,0.8146319030671412,0.8750668167441115,88.84132190729058,9,63.24214619882731,106.25198746095941,41258,1028
2,C:\malav_parikh\sem-abaqus\B4C_18.tif,13,False,8.209015609152752,10.8759461842919,27.7635666,21.00741217011364,5.945558922255196,7.4193825410205125,5.107241462159978,6.993535638710237,5.267483418035314,2.490499973297119,1.452718183777172,0.3116352427007365,0.7905694126283048,0.9471994080651128,0.9187550075511316,164.00880256253873,8,79.69906137166396,135.0,32340,671
3,C:\malav_parikh\sem-abaqus\B4C_18.tif,11,False,22.78382505404982,6.86728286385712,27.39870835,21.89140643657483,5.906362581647482,7.089994602254645,5.802715450393008,6.705627019084923,5.4165570682211746,2.5539608001708984,1.2218408196759762,0.18156278305942253,0.7184435086426151,0.9150644044220988,0.8834307306029828,134.9045563198289,13,57.52880770915151,128.79732410802217,31915,673
4,C:\malav_parikh\sem-abaqus\B4C_18.tif,23,False,5.146140968421053,16.611247575708504,26.50587875,21.39207729811298,5.809331544373709,7.005886722606925,5.274856116287012,6.826515965282976,5.135864748930715,2.318561315536499,1.3281664121557861,0.2470823001939415,0.7278571500130853,0.907440127095366,0.8795889664137518,164.59771113315784,10,84.48202189423522,127.19620430681103,30875,631
5,C:\malav_parikh\sem-abaqus\B4C_18.tif,10,False,13.162392627611528,6.603222484322709,26.42174673,20.489019128982864,5.80010454885194,6.806687029678976,5.319924303756192,6.535030070580566,5.215958859408442,2.6040661334991455,1.279470654286009,0.21842677934802945,0.7909136182211641,0.9230104985683771,0.907596869729638,75.49948876435242,10,44.73717716676349,124.72506904600957,30777,625
6,C:\malav_parikh\sem-abaqus\B4C_18.tif,18,False,21.72340264202249,14.320323859043139,23.362946859999997,23.26172863133132,5.454046921662684,8.330325454026392,4.615314366738816,7.969973867058543,3.920701550773537,2.1091458797454834,1.8049313204016058,0.4459622985668533,0.5425671744313819,0.8329454838809767,0.8578301824855913,170.91907234122942,13,42.154914094899084,112.65174623741635,27214,736
7,C:\malav_parikh\sem-abaqus\B4C_18.tif,9,False,17.78341401382797,5.630013188610512,23.095097980000002,20.358165243970674,5.422692323714225,7.528788796346992,4.125833936898247,7.3596373780976165,4.062713648638307,2.224074602127075,1.82479200847503,0.45199233920599247,0.7002488476382176,0.9476958730724663,0.8863800553803715,95.09868267504795,12,58.133188779875574,124.85624332045627,26902,641
8,C:\malav_parikh\sem-abaqus\B4C_18.tif,27,True,19.76146997176318,18.874706550016203,18.54595947,17.525752784156442,4.859367139068582,6.9719840999531835,3.516,6.95971614370462,3.567015413612966,3.130739450454712,1.982930631386002,0.49569592391588935,0.7587624108488537,0.9649607279476673,0.9579647668965483,-178.8492663413715,7,94.57392125990086,128.57142857142858,21603,573
9,C:\malav_parikh\sem-abaqus\B4C_18.tif,7,True,1.6631286303867934,6.238255154045493,17.88921462,19.50296524175049,4.772552302326128,7.16023901835686,3.9988415884329376,6.603242861595457,3.709783384088968,2.2822206020355225,1.7905783112460847,0.4415212148391945,0.5910168255495993,0.9509806191678052,0.8695712058326793,68.77473796284717,7,99.46232220802563,128.57142857142858,20838,604
10,C:\malav_parikh\sem-abaqus\B4C_18.tif,15,False,18.783479655727803,11.021613529293337,17.056479319999998,20.38791751758476,4.660148491645037,6.539219135340243,4.658382847955127,6.065317970229528,4.060314614870162,2.0722596645355225,1.403753050956458,0.2876239881946171,0.5156482167977257,0.7787184032826723,0.8187957328112263,-139.69586571479132,13,33.0908864883696,116.8786550140349,19868,640
11,C:\malav_parikh\sem-abaqus\B4C_18.tif,5,True,8.119638879483652,1.883818558882658,16.227177979999997,15.677279782590807,4.545446590115393,5.245027364084958,4.581938398497041,4.733393291978592,4.625983874793205,2.141853094100952,1.1447180009677613,0.12642240346130185,0.829681574790877,0.9752418300653596,0.9520565846616833,170.6696495810964,6,72.33481379842077,120.00000000000001,18902,499
12,C:\malav_parikh\sem-abaqus\B4C_18.tif,16,False,3.1523103913414374,11.535023832373641,16.101838439999998,22.0968805079655,4.527857931157374,6.296432974311725,4.043168440939824,6.292227580180926,3.481259703424015,1.5215106010437012,1.5573016722618005,0.3578636574969989,0.41440348062138904,0.7665120342826236,0.7386198626399897,104.13470481574979,15,22.331997751229217,108.9707849911071,18756,663
13,C:\malav_parikh\sem-abaqus\B4C_18.tif,8,False,6.217813866596501,6.270913129851335,13.050764979999999,15.31765906555146,4.076364809677957,5.496073975120786,3.4569155801445524,5.22192197431974,3.3561714057249805,1.5808372497558594,1.5898779844924547,0.37102091496710965,0.6989740219176754,0.9422707671000033,0.9046502714833372,121.93775397411446,6,65.18022760562262,120.0,15202,467
14,C:\malav_parikh\sem-abaqus\B4C_18.tif,14,False,13.064737505867626,12.13581151619465,10.973219180000001,16.99224410387535,3.7378518687907305,6.025336804693991,3.421703828339281,5.599536987220815,2.713487156727469,1.2469990253448486,1.7609171064984837,0.4321140976428687,0.4775759422837601,0.803561687790791,0.8221369688701476,127.28294915140232,9,59.19240105318489,112.14093564886934,12782,519
15,C:\malav_parikh\sem-abaqus\B4C_18.tif,1,True,2.4320272973194528,0.9800596606279204,10.47271951,14.966694474684825,3.651613427110194,6.246125042776521,2.344,6.012743692097787,2.408493834816349,2.2471511363983154,2.664729113812509,0.624727333515237,0.587513093178744,0.9336511409815568,0.9501462321246229,172.22269000082585,6,73.61045966596522,112.09468433526523,12199,502
