placement_id,shape_index,source_image,grain_id,x_mm,y_mm,z_mm,rot_axis_x,rot_axis_y,rot_axis_z,rot_angle_deg,theta_deg,axial_mm,radius_mm,protrusion_mm,bounding_radius_mm,grain_height_um,grain_volume_um3,equivalent_diameter_um,feret_max_um,feret_min_um
1,61,DIAMOND_11.tif,81,0.999485,0.020604,-0.241917,-0.001977,0.983016,-0.183509,87.221090,1.1809,-0.241917,0.999697,0.000471,0.002323,1.0526,2.9133,2.9314,5.2877,1.7818
2,67,DIAMOND_11.tif,92,0.998483,0.058629,-0.235695,-0.692740,0.255614,-0.674368,109.856732,3.3604,-0.235695,1.000203,0.001369,0.001376,2.0946,4.5898,2.6204,4.5504,2.8789
3,2,DIAMOND_11.tif,5,0.995099,0.083449,-0.240033,-0.703417,0.359688,-0.613049,135.390396,4.7936,-0.240033,0.998592,0.002240,0.004939,6.1317,172.9320,7.2822,10.2853,7.7068
4,53,DIAMOND_11.tif,68,0.990953,0.131620,-0.241783,-0.591610,-0.079973,-0.802248,152.325663,7.5658,-0.241783,0.999656,0.001394,0.002864,2.8584,12.9675,3.2293,5.8149,3.6615
5,18,DIAMOND_11.tif,25,0.987782,0.156274,-0.226490,-0.772720,-0.114694,-0.624298,172.166704,8.9901,-0.226490,1.000068,0.002009,0.005001,3.3099,34.0561,5.0622,9.5853,4.0570
6,26,DIAMOND_11.tif,36,0.983194,0.180693,-0.230831,-0.154585,0.926379,0.343402,91.196705,10.4137,-0.230831,0.999660,0.001085,0.003876,2.3312,18.8512,4.3784,7.3800,3.1732
7,38,DIAMOND_11.tif,51,0.976519,0.215468,-0.237411,-0.567581,0.654603,-0.499345,136.155516,12.4429,-0.237411,1.000008,0.001535,0.002018,2.6315,13.7149,3.6601,4.6655,3.7508
8,22,DIAMOND_11.tif,31,0.967671,0.249994,-0.223302,0.303433,0.664562,0.682851,153.731497,14.4854,-0.223302,0.999442,0.001055,0.002945,2.5253,24.2589,4.7564,6.2282,3.9129
9,9,DIAMOND_11.tif,15,0.954748,0.297763,-0.222219,0.628420,0.248153,0.737230,171.100033,17.3214,-0.222219,1.000103,0.002451,0.003979,3.9470,49.2002,5.7090,7.4169,5.1537
10,92,DIAMOND_11.tif,126,0.948692,0.316018,-0.225071,0.500945,0.516631,0.694368,124.747201,18.4234,-0.225071,0.999942,0.000377,0.000751,0.7223,0.3678,1.4664,2.4982,1.0312
11,23,DIAMOND_11.tif,32,0.929946,0.367495,-0.239561,0.625029,0.348756,0.698360,155.847678,21.5629,-0.239561,0.999926,0.001500,0.003253,2.5047,21.3131,4.6565,8.4243,3.7626
12,32,DIAMOND_11.tif,45,0.918542,0.395276,-0.227529,-0.451399,0.888400,-0.083572,89.994114,23.2836,-0.227529,0.999981,0.001213,0.002670,2.1119,12.6641,3.9129,5.6350,2.7141
13,73,DIAMOND_11.tif,99,0.909329,0.415836,-0.238786,-0.066956,0.883712,0.463216,102.622587,24.5746,-0.238786,0.999899,0.000595,0.001677,1.2256,2.7484,2.4781,4.1438,1.6880
14,13,DIAMOND_11.tif,19,0.894821,0.444648,-0.242603,-0.794341,0.217542,-0.567184,127.011497,26.4233,-0.242603,0.999208,0.000968,0.003320,2.9475,35.7805,5.3648,6.4651,5.1690
15,4,DIAMOND_11.tif,8,0.869317,0.492635,-0.232732,0.579790,0.432522,0.690485,168.270443,29.5399,-0.232732,0.999201,0.001951,0.004101,4.6158,73.3776,6.3488,8.7276,5.7689
16,57,DIAMOND_11.tif,72,0.999652,0.018236,-0.197343,-0.675212,0.037772,-0.736656,178.374138,1.0451,-0.197343,0.999819,0.000648,0.002106,1.3363,5.3831,3.1630,4.8559,2.6014
17,51,DIAMOND_11.tif,66,0.998575,0.055846,-0.189279,-0.399172,0.814010,-0.421958,105.384117,3.2010,-0.189279,1.000135,0.001437,0.001784,2.1914,9.0469,3.3613,4.8757,3.1654
18,31,DIAMOND_11.tif,43,0.996088,0.082436,-0.188573,0.468770,0.551622,0.689905,119.132528,4.7310,-0.188573,0.999494,0.000922,0.002595,2.2881,14.1526,3.9969,5.4815,3.1181
19,10,DIAMOND_11.tif,16,0.993128,0.113726,-0.199416,0.740863,0.160318,0.652242,167.211049,6.5326,-0.199416,0.999618,0.001758,0.003521,3.4750,44.9521,5.5565,6.9330,4.8288
20,30,DIAMOND_11.tif,42,0.987515,0.156214,-0.200359,0.660826,0.167173,0.731685,146.675711,8.9891,-0.200359,0.999795,0.001176,0.002952,2.1106,13.7130,4.0306,5.7484,3.2738
21,69,DIAMOND_11.tif,94,0.982929,0.183999,-0.196410,-0.621504,-0.010637,-0.783339,166.209410,10.6027,-0.196410,1.000002,0.000957,0.001419,1.6246,3.9163,2.5596,3.7240,2.5617
22,87,DIAMOND_11.tif,118,0.972215,0.234337,-0.187133,-0.090237,0.984700,0.149077,98.989851,13.5518,-0.187133,1.000058,0.000671,0.001420,1.0508,1.0922,1.7911,2.9189,1.6823
23,33,DIAMOND_11.tif,46,0.963314,0.267863,-0.199951,0.621550,0.404151,0.671072,168.030907,15.5393,-0.199951,0.999862,0.000936,0.002346,1.7205,10.9902,3.9084,5.2783,3.6731
24,95,DIAMOND_11.tif,130,0.954704,0.297994,-0.202232,0.514671,0.558161,0.650822,140.595167,17.3348,-0.202232,1.000130,0.000568,0.000520,0.7720,0.3081,1.2082,1.4787,1.0867
25,48,DIAMOND_11.tif,63,0.947344,0.318693,-0.195274,0.384600,0.581268,0.717085,127.092181,18.5933,-0.195274,0.999513,0.000703,0.002507,1.9949,8.9620,3.4174,5.5326,3.2778
26,73,DIAMOND_11.tif,99,0.935203,0.354524,-0.190171,0.604973,0.370846,0.704614,137.354906,20.7611,-0.190171,1.000146,0.000889,0.001677,1.2256,2.7484,2.4781,4.1438,1.6880
27,65,DIAMOND_11.tif,89,0.923053,0.384437,-0.202958,0.298179,0.825171,0.479774,115.197283,22.6110,-0.202958,0.999910,0.000751,0.001873,1.5214,4.2247,2.6691,4.0917,2.1900
28,46,DIAMOND_11.tif,60,0.908872,0.415765,-0.189146,-0.609441,-0.160760,-0.776362,140.392892,24.5818,-0.189146,0.999454,0.000617,0.002096,1.8506,8.4267,3.4726,5.0876,2.7590
29,15,DIAMOND_11.tif,21,0.888742,0.458022,-0.203598,-0.660299,-0.047742,-0.749484,139.096132,27.2648,-0.203598,0.999824,0.001002,0.003965,1.8995,20.6013,5.1918,8.8082,3.5099
30,57,DIAMOND_11.tif,72,0.874553,0.484491,-0.188824,0.468396,0.607953,0.641092,151.089358,28.9859,-0.188824,0.999788,0.000589,0.002106,1.3363,5.3831,3.1630,4.8559,2.6014
31,30,DIAMOND_11.tif,42,0.999534,0.026959,-0.160972,-0.445429,0.820363,-0.358606,100.229958,1.5450,-0.160972,0.999897,0.001184,0.002952,2.1106,13.7130,4.0306,5.7484,3.2738
32,48,DIAMOND_11.tif,63,0.998103,0.054584,-0.153035,-0.816609,0.240011,-0.524923,150.197496,3.1303,-0.153035,0.999595,0.000832,0.002507,1.9949,8.9620,3.4174,5.5326,3.2778
33,63,DIAMOND_11.tif,86,0.996526,0.079645,-0.167405,-0.604632,0.429951,-0.670494,129.977321,4.5695,-0.167405,0.999703,0.000669,0.001898,1.6842,4.7862,2.7402,4.4393,2.0872
34,19,DIAMOND_11.tif,26,0.991903,0.124496,-0.169657,0.649003,0.600935,0.466554,131.578714,7.1539,-0.169657,0.999685,0.001448,0.002910,2.8154,28.5622,4.9632,6.3715,4.5700
35,95,DIAMOND_11.tif,130,0.986556,0.162823,-0.169400,-0.490955,0.684824,-0.538498,106.549453,9.3717,-0.169400,0.999902,0.000345,0.000520,0.7720,0.3081,1.2082,1.4787,1.0867
36,21,DIAMOND_11.tif,30,0.981019,0.193649,-0.161155,0.056313,0.955439,0.289767,112.141432,11.1664,-0.161155,0.999949,0.001817,0.003125,2.9763,28.1827,4.7784,6.6225,4.2739
37,9,DIAMOND_11.tif,15,0.972043,0.232636,-0.157649,-0.844733,0.080049,-0.529167,132.151358,13.4592,-0.157649,0.999494,0.001995,0.003979,3.9470,49.2002,5.7090,7.4169,5.1537
38,56,DIAMOND_11.tif,71,0.967982,0.250669,-0.163498,-0.379786,0.899689,-0.215225,93.164709,14.5184,-0.163498,0.999912,0.001283,0.001714,2.3265,8.6456,3.1857,4.7472,2.8980
39,94,DIAMOND_11.tif,129,0.956405,0.291630,-0.162863,-0.747571,0.580349,-0.323007,134.443842,16.9577,-0.162863,0.999879,0.000170,0.000449,0.5504,0.1192,1.2118,1.9652,0.9777
40,33,DIAMOND_11.tif,46,0.947249,0.319511,-0.156670,0.007650,0.965393,0.260687,87.411142,18.6395,-0.156670,0.999684,0.000753,0.002346,1.7205,10.9902,3.9084,5.2783,3.6731
41,71,DIAMOND_11.tif,97,0.931356,0.364353,-0.170030,-0.288878,0.811696,0.507641,107.325662,21.3658,-0.170030,1.000089,0.001183,0.001354,2.0459,4.2073,2.5244,4.2107,2.6742
42,27,DIAMOND_11.tif,37,0.922065,0.387154,-0.166629,-0.624530,0.657696,-0.421187,109.009207,22.7764,-0.166629,1.000046,0.001289,0.003142,1.8285,13.4607,4.3256,6.4516,2.9485
43,94,DIAMOND_11.tif,129,0.908876,0.416863,-0.157705,0.187429,0.881783,0.432815,107.999878,24.6389,-0.157705,0.999915,0.000235,0.000449,0.5504,0.1192,1.2118,1.9652,0.9777
44,72,DIAMOND_11.tif,98,0.893120,0.450014,-0.168079,-0.492456,0.870307,0.007257,89.658357,26.7421,-0.168079,1.000088,0.000780,0.001574,1.2045,2.3662,2.4860,3.5061,1.6844
45,59,DIAMOND_11.tif,79,0.876465,0.481421,-0.167159,-0.804541,0.065565,-0.590266,127.849123,28.7790,-0.167159,0.999978,0.000937,0.001565,1.6120,4.0482,2.9984,6.3629,2.3502
46,0,DIAMOND_11.tif,1,0.999459,0.021402,-0.132292,0.639380,0.099754,0.762392,164.125724,1.2267,-0.132292,0.999688,0.003695,0.006616,6.5389,193.8738,8.8984,12.5805,9.1749
47,91,DIAMOND_11.tif,123,0.998326,0.058543,-0.121863,0.666307,0.435766,0.605098,150.322625,3.3561,-0.121863,1.000041,0.000579,0.000853,0.8947,0.6195,1.7441,3.8088,1.3476
48,50,DIAMOND_11.tif,65,0.996722,0.084783,-0.120850,-0.078012,0.996051,-0.042398,123.039101,4.8620,-0.120850,1.000322,0.001974,0.002633,2.7839,13.2921,3.4104,5.3330,3.1854
49,95,DIAMOND_11.tif,130,0.992004,0.126152,-0.130930,0.169105,0.943591,0.284673,95.092847,7.2473,-0.130930,0.999993,0.000429,0.000520,0.7720,0.3081,1.2082,1.4787,1.0867
50,13,DIAMOND_11.tif,19,0.988915,0.147442,-0.116747,0.174854,0.719434,0.672192,93.973815,8.4800,-0.116747,0.999846,0.001696,0.003320,2.9475,35.7805,5.3648,6.4651,5.1690
51,38,DIAMOND_11.tif,51,0.980386,0.197023,-0.131570,-0.558908,0.660032,-0.501975,98.820713,11.3631,-0.131570,0.999988,0.001552,0.002018,2.6315,13.7149,3.6601,4.6655,3.7508
52,7,DIAMOND_11.tif,11,0.972816,0.231209,-0.119788,0.689229,0.366171,0.625206,178.118907,13.3694,-0.119788,0.999914,0.002534,0.003862,4.3101,56.5908,6.0473,7.9302,5.8421
53,8,DIAMOND_11.tif,12,0.964717,0.263690,-0.120970,-0.548881,0.721598,-0.421932,132.541596,15.2875,-0.120970,1.000106,0.002131,0.004457,3.9078,33.8063,5.7696,7.9445,6.2466
54,77,DIAMOND_11.tif,104,0.953132,0.302192,-0.126126,-0.706509,0.557354,-0.436122,108.662811,17.5913,-0.126126,0.999890,0.000746,0.001103,1.4701,2.4381,2.1917,2.8805,2.0602
55,88,DIAMOND_11.tif,119,0.946433,0.322578,-0.124986,-0.726309,-0.106341,-0.679093,158.586811,18.8209,-0.124986,0.999896,0.000555,0.000959,1.1525,1.0033,1.7887,2.4278,1.4411
56,37,DIAMOND_11.tif,50,0.930269,0.365837,-0.126440,0.238516,0.699241,0.673923,136.579033,21.4677,-0.126440,0.999619,0.001425,0.002543,2.7966,14.0539,3.6655,5.3763,2.9527
57,15,DIAMOND_11.tif,21,0.919718,0.392029,-0.130910,0.271174,0.891503,0.362887,92.183055,23.0861,-0.130910,0.999784,0.001253,0.003965,1.8995,20.6013,5.1918,8.8082,3.5099
58,22,DIAMOND_11.tif,31,0.905396,0.424722,-0.114690,-0.705983,0.600634,-0.375269,100.853557,25.1313,-0.114690,1.000066,0.001551,0.002945,2.5253,24.2589,4.7564,6.2282,3.9129
59,65,DIAMOND_11.tif,89,0.890824,0.454348,-0.128673,-0.774975,0.251608,-0.579747,150.549943,27.0230,-0.128673,0.999999,0.001070,0.001873,1.5214,4.2247,2.6691,4.0917,2.1900
60,53,DIAMOND_11.tif,68,0.876705,0.481634,-0.128964,-0.759735,0.245920,-0.601935,111.447409,28.7830,-0.128964,1.000291,0.001970,0.002864,2.8584,12.9675,3.2293,5.8149,3.6615
61,90,DIAMOND_11.tif,122,1.000015,0.011214,-0.080305,0.053288,0.996694,0.061325,89.631801,0.6425,-0.080305,1.000078,0.000974,0.000910,1.5618,1.4736,1.7516,2.1607,1.7785
62,59,DIAMOND_11.tif,79,0.997617,0.060717,-0.090329,0.558526,0.164406,0.813031,176.955385,3.4828,-0.090329,0.999463,0.000432,0.001565,1.6120,4.0482,2.9984,6.3629,2.3502
63,29,DIAMOND_11.tif,41,0.995127,0.096533,-0.080140,-0.310143,0.946437,-0.089819,105.986983,5.5407,-0.080140,0.999798,0.001320,0.004448,2.6907,13.0309,4.0409,8.2103,2.9520
64,76,DIAMOND_11.tif,102,0.992162,0.125605,-0.084267,0.195950,0.976124,0.093731,115.486008,7.2151,-0.084267,1.000081,0.001047,0.001500,1.4710,2.5364,2.3662,4.0879,1.6961
65,77,DIAMOND_11.tif,104,0.989112,0.148185,-0.099340,0.649484,0.514289,0.560069,107.671957,8.5205,-0.099340,1.000151,0.000986,0.001103,1.4701,2.4381,2.1917,2.8805,2.0602
66,53,DIAMOND_11.tif,68,0.981994,0.187632,-0.091595,0.646648,0.456224,0.611315,148.703883,10.8173,-0.091595,0.999759,0.001382,0.002864,2.8584,12.9675,3.2293,5.8149,3.6615
67,67,DIAMOND_11.tif,92,0.975206,0.219655,-0.096848,0.270722,0.723469,0.635061,105.096476,12.6935,-0.096848,0.999637,0.000832,0.001376,2.0946,4.5898,2.6204,4.5504,2.8789
68,72,DIAMOND_11.tif,98,0.966865,0.254730,-0.095094,0.734455,0.292652,0.612316,142.903161,14.7597,-0.095094,0.999857,0.000636,0.001574,1.2045,2.3662,2.4860,3.5061,1.6844
69,56,DIAMOND_11.tif,71,0.955162,0.295717,-0.084910,0.334965,0.452516,0.826455,154.845035,17.2025,-0.084910,0.999892,0.001188,0.001714,2.3265,8.6456,3.1857,4.7472,2.8980
70,44,DIAMOND_11.tif,57,0.942516,0.334320,-0.084565,-0.734731,-0.167391,-0.657381,161.488546,19.5301,-0.084565,1.000053,0.001457,0.002282,2.3842,12.0878,3.5350,4.8545,3.2090
