placement_id,shape_index,source_image,grain_id,x_mm,y_mm,z_mm,rot_axis_x,rot_axis_y,rot_axis_z,rot_angle_deg,theta_deg,axial_mm,radius_mm,protrusion_mm,bounding_radius_mm,grain_height_um,grain_volume_um3,equivalent_diameter_um,feret_max_um,feret_min_um
1,37,DIAMOND_11.tif,50,99.999940,0.188109,-9.523798,-0.170929,0.968391,-0.181668,71.534887,0.1078,-9.523798,100.000117,0.001718,0.002543,2.7966,14.0539,3.6655,5.3763,2.9527
2,42,DIAMOND_11.tif,55,99.991742,1.271892,-9.721919,-0.148898,0.923491,0.353544,102.613523,0.7288,-9.721919,99.999831,0.000790,0.002566,1.5202,7.5887,3.5473,5.7553,2.4714
3,36,DIAMOND_11.tif,49,99.976510,2.157359,-9.968732,-0.616345,0.375972,-0.691928,115.271186,1.2362,-9.968732,99.999784,0.001318,0.002514,2.6690,14.7684,3.7620,5.7388,3.0158
4,17,DIAMOND_11.tif,24,99.960658,2.789841,-9.625603,0.068742,0.993436,0.091425,88.468711,1.5987,-9.625603,99.999582,0.001535,0.003714,3.2720,34.6917,5.0674,7.1263,4.3787
5,47,DIAMOND_11.tif,61,99.938506,3.497762,-9.529444,-0.341924,0.930137,-0.133913,123.019384,2.0045,-9.529444,99.999697,0.000678,0.001989,1.5957,6.0222,3.4562,5.2254,2.4746
6,77,DIAMOND_11.tif,104,99.906383,4.330398,-9.937053,-0.731342,0.341484,-0.590362,139.940297,2.4819,-9.937053,100.000188,0.001047,0.001103,1.4701,2.4381,2.1917,2.8805,2.0602
7,51,DIAMOND_11.tif,66,99.898264,4.505876,-9.310289,0.503476,0.612007,0.609885,110.252420,2.5826,-9.310289,99.999830,0.001120,0.001784,2.1914,9.0469,3.3613,4.8757,3.1654
8,60,DIAMOND_11.tif,80,99.867390,5.147114,-9.643729,0.124149,0.917017,0.379035,88.592666,2.9504,-9.643729,99.999942,0.000909,0.002137,1.4643,4.1488,2.9714,4.2915,2.4134
9,7,DIAMOND_11.tif,11,99.825077,5.909930,-9.866128,0.092559,0.940811,0.326047,111.357577,3.3881,-9.866128,99.999866,0.002415,0.003862,4.3101,56.5908,6.0473,7.9302,5.8421
10,54,DIAMOND_11.tif,69,99.763742,6.872541,-9.816061,-0.730739,0.037093,-0.681649,168.798069,3.9408,-9.816061,100.000180,0.001726,0.001772,2.6298,11.4450,3.2266,4.1702,3.0906
11,8,DIAMOND_11.tif,12,99.701159,7.728431,-9.944429,0.467102,0.621496,0.628934,134.769885,4.4325,-9.944429,100.000248,0.002573,0.004457,3.9078,33.8063,5.7696,7.9445,6.2466
12,30,DIAMOND_11.tif,42,99.638828,8.487715,-9.788351,-0.508705,0.681775,-0.525739,98.028879,4.8690,-9.788351,99.999687,0.000960,0.002952,2.1106,13.7130,4.0306,5.7484,3.2738
13,15,DIAMOND_11.tif,21,99.610750,8.813713,-9.391688,-0.035025,0.968482,-0.246609,109.851012,5.0565,-9.391688,99.999916,0.001134,0.003965,1.8995,20.6013,5.1918,8.8082,3.5099
14,43,DIAMOND_11.tif,56,99.492316,10.062716,-9.634128,-0.590757,0.412794,-0.693258,128.090107,5.7753,-9.634128,99.999896,0.000997,0.002704,1.9246,9.2034,3.5430,6.1170,2.4588
15,67,DIAMOND_11.tif,92,99.463719,10.341416,-9.482772,-0.621563,0.020398,-0.783099,160.127743,5.9358,-9.482772,99.999882,0.001126,0.001376,2.0946,4.5898,2.6204,4.5504,2.8789
16,60,DIAMOND_11.tif,80,99.366594,11.234263,-9.941178,0.689243,0.118257,0.714814,171.733237,6.4504,-9.941178,99.999644,0.000519,0.002137,1.4643,4.1488,2.9714,4.2915,2.4134
17,24,DIAMOND_11.tif,33,99.272542,12.038543,-9.495491,-0.765462,0.340330,-0.546116,105.788439,6.9144,-9.495491,99.999820,0.001262,0.002841,2.3388,18.9749,4.5889,6.0620,4.5251
18,77,DIAMOND_11.tif,104,99.153207,12.987950,-9.892297,-0.255257,0.933799,-0.250726,86.525619,7.4626,-9.892297,100.000227,0.001090,0.001103,1.4701,2.4381,2.1917,2.8805,2.0602
19,61,DIAMOND_11.tif,81,99.104460,13.352344,-9.400564,0.702663,0.370876,0.607219,169.306922,7.6733,-9.400564,99.999895,0.000754,0.002323,1.0526,2.9133,2.9314,5.2877,1.7818
20,91,DIAMOND_11.tif,123,99.017055,13.986449,-9.486574,-0.336447,0.931046,-0.141267,66.220397,8.0400,-9.486574,99.999990,0.000509,0.000853,0.8947,0.6195,1.7441,3.8088,1.3476
21,8,DIAMOND_11.tif,12,98.892883,14.831188,-9.588717,0.712583,0.355223,0.605014,158.786652,8.5292,-9.588717,99.998832,0.001274,0.004457,3.9078,33.8063,5.7696,7.9445,6.2466
22,2,DIAMOND_11.tif,5,98.735027,15.858075,-9.412910,0.647596,0.607548,0.459896,148.327143,9.1245,-9.412910,100.000421,0.004316,0.004939,6.1317,172.9320,7.2822,10.2853,7.7068
23,44,DIAMOND_11.tif,57,98.615905,16.578129,-9.438276,-0.723006,-0.047378,-0.689215,168.217113,9.5427,-9.438276,99.999655,0.001054,0.002282,2.3842,12.0878,3.5350,4.8545,3.2090
