time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
0,0,0.00873762928,0,0,0,0,0,0,0.00873762928
9.15182263e-10,2.89366716e-14,0.00873762928,9.30933848e-15,1.9627334e-14,0,0,4.79214628e-12,4.55464185e-14,0.00873762928
1.82767146e-09,1.41619477e-13,0.00873762928,4.38470671e-14,9.777241e-14,0,0,1.46149221e-11,6.35550504e-14,0.00873762928
2.74016787e-09,3.1315895e-13,0.00873762928,9.78701102e-14,2.15288833e-13,0,0,2.68063922e-11,7.59290024e-14,0.00873762928
3.60703001e-09,5.04269044e-13,0.00873762928,1.63046727e-13,3.4122233e-13,0,0,4.01575544e-11,8.60940686e-14,0.00873762928
4.51949367e-09,7.29012174e-13,0.00873762928,2.44256736e-13,4.84755411e-13,0,0,5.55957398e-11,9.28561495e-14,0.00873762928
5.43194156e-09,9.61259501e-13,0.00873762928,3.28470459e-13,6.32789069e-13,0,0,7.17478438e-11,9.68507704e-14,0.00873762928
6.34450137e-09,1.20669154e-12,0.00873762928,4.09292175e-13,7.9739931e-13,0,0,8.97983771e-11,1.17643512e-13,0.00873762928
7.21147186e-09,1.46694028e-12,0.00873762928,4.71551671e-13,9.95388559e-13,0,0,1.11374243e-10,1.45230209e-13,0.00873762928
8.12408096e-09,1.82006797e-12,0.00873762928,5.31041899e-13,1.28902607e-12,0,0,1.389278e-10,1.73866225e-13,0.00873762928
9.03668074e-09,2.29709372e-12,0.00873762928,6.07833608e-13,1.68926017e-12,0,0,1.71912692e-10,2.11693903e-13,0.00873762928
9.90359883e-09,3.08890478e-12,0.00873762928,7.84856067e-13,2.30404866e-12,0,0,2.10327811e-10,2.46122784e-13,0.00873762928
1.08161125e-08,4.00350109e-12,0.00873762928,9.81570727e-13,3.02193036e-12,0,0,2.54820914e-10,2.68708748e-13,0.00873762928
1.17285781e-08,5.03799433e-12,0.00873762928,1.24139587e-12,3.79659845e-12,0,0,3.03020553e-10,2.89580426e-13,0.00873762928
1.26409958e-08,6.01079689e-12,0.00873762928,1.53399136e-12,4.47680564e-12,0,0,3.5172712e-10,2.92457031e-13,0.00873762928
1.35077798e-08,6.69382562e-12,0.00873762928,1.78638994e-12,4.90743557e-12,0,0,3.96311289e-10,2.93446663e-13,0.00873762928
1.44201451e-08,7.2524417e-12,0.00873762928,2.03895017e-12,5.21349153e-12,0,0,4.41688686e-10,2.9458841e-13,0.00873762928
1.5332466e-08,7.6706046e-12,0.00873762928,2.22924305e-12,5.44136177e-12,0,0,4.85141372e-10,2.96052408e-13,0.00873762928
1.62450835e-08,8.07171517e-12,0.00873762928,2.39839854e-12,5.67331685e-12,0,0,5.29641331e-10,3.29776245e-13,0.00873762928
1.71122316e-08,8.55836842e-12,0.00873762928,2.48775219e-12,6.07061623e-12,0,0,5.796566e-10,3.75425738e-13,0.00873762928
1.80249362e-08,9.27077512e-12,0.00873762928,2.53232656e-12,6.73844791e-12,0,0,6.39941156e-10,4.19838074e-13,0.00873762928
1.8937568e-08,1.04442991e-11,0.00873762928,2.67087285e-12,7.773426e-12,0,0,7.07609915e-10,4.67943284e-13,0.00873762928
1.98044692e-08,1.24245171e-11,0.00873762928,3.10350248e-12,9.32101445e-12,0,0,7.8156176e-10,5.16704247e-13,0.00873762928
2.07169197e-08,1.47819361e-11,0.00873762928,3.60568585e-12,1.11762492e-11,0,0,8.65661598e-10,5.56532901e-13,0.00873762928
2.16292761e-08,1.75970662e-11,0.00873762928,4.33737811e-12,1.32596876e-11,0,0,9.54206492e-10,5.76527758e-13,0.00873762928
2.2541597e-08,1.96543563e-11,0.00873762928,5.00112885e-12,1.46532283e-11,0,0,1.03864994e-09,5.7957274e-13,0.00873762928
2.34082851e-08,2.06559561e-11,0.00873762928,5.43061299e-12,1.52253436e-11,0,0,1.11432719e-09,5.82535539e-13,0.00873762928
2.43205136e-08,2.1417217e-11,0.00873762928,5.8360131e-12,1.5581203e-11,0,0,1.18992693e-09,5.86912192e-13,0.00873762928
2.52326711e-08,2.17489846e-11,0.00873762928,6.15537179e-12,1.55936115e-11,0,0,1.26060529e-09,5.92093974e-13,0.00873762928
2.61447646e-08,2.19954662e-11,0.00873762928,6.46215286e-12,1.55333125e-11,0,0,1.33043832e-09,6.33943527e-13,0.00873762928
2.70111418e-08,2.24241337e-11,0.00873762928,6.55529667e-12,1.58688375e-11,0,0,1.40726475e-09,6.99803496e-13,0.00873762928
2.7923079e-08,2.31602029e-11,0.00873762928,6.45789498e-12,1.67023079e-11,0,0,1.49889579e-09,7.65409654e-13,0.00873762928
2.88350055e-08,2.49638123e-11,0.00873762928,6.5948501e-12,1.83689626e-11,0,0,1.60009272e-09,8.19558017e-13,0.00873762928
2.97013685e-08,2.81963532e-11,0.00873762928,7.34739179e-12,2.08489614e-11,0,0,1.70902226e-09,8.99153961e-13,0.00873762928
3.06134069e-08,3.26138283e-11,0.00873762928,8.44081575e-12,2.41730125e-11,0,0,1.83323823e-09,9.52814108e-13,0.00873762928
3.15255626e-08,3.77828185e-11,0.00873762928,9.95521547e-12,2.78276031e-11,0,0,1.96204675e-09,9.82108817e-13,0.00873762928
3.2437864e-08,4.19001535e-11,0.00873762928,1.14620848e-11,3.04380687e-11,0,0,2.087164e-09,9.89253926e-13,0.00873762928
