time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
0,0,0,0,0,-0,-0,-0,0
9.15182263e-10,1.46290631e-06,-2.32175537e-07,3.40391361e-11,-7.28258283e-06,-1.4524516e-06,2.90490471e-07,2.91303313e-07,1.48121584e-06
1.82767146e-09,2.01135822e-06,-3.18618504e-07,1.6172387e-10,-9.99779695e-06,-1.99700801e-06,3.98796519e-07,3.99911878e-07,2.03643798e-06
2.74016787e-09,2.38521989e-06,-3.76875306e-07,3.86653015e-10,-1.18319304e-05,-2.36824097e-06,4.71957201e-07,4.73277214e-07,2.41481036e-06
3.60703001e-09,2.68804683e-06,-4.23572232e-07,6.53333609e-10,-1.33052854e-05,-2.66895831e-06,5.30726622e-07,5.32211416e-07,2.72121474e-06
4.51949367e-09,2.88143383e-06,-4.52718893e-07,9.19222198e-10,-1.42292947e-05,-2.86102506e-06,5.67583387e-07,5.69171789e-07,2.91678181e-06
5.43194156e-09,2.99316889e-06,-4.69002401e-07,1.13599918e-09,-1.47492192e-05,-2.97201958e-06,5.88322081e-07,5.89968768e-07,3.0296905e-06
6.34450137e-09,3.66151789e-06,-5.80832136e-07,1.60461744e-09,-1.82199983e-05,-3.63536198e-06,7.26789195e-07,7.28799932e-07,3.70730115e-06
7.21147186e-09,4.52432869e-06,-7.17509693e-07,2.12807483e-09,-2.25085132e-05,-4.49201697e-06,8.97860653e-07,9.00340528e-07,4.58087052e-06
8.12408096e-09,5.41813415e-06,-8.58997623e-07,2.71547318e-09,-2.69485499e-05,-5.37944948e-06,1.07497809e-06,1.077942e-06,5.4858055e-06
9.03668074e-09,6.61812965e-06,-1.06069297e-06,1.252351e-09,-3.32028212e-05,-6.57041944e-06,1.32449912e-06,1.32811285e-06,6.70258988e-06
9.90359883e-09,7.650312e-06,-1.22252288e-06,2.05980033e-09,-3.82911276e-05,-7.59530469e-06,1.52747588e-06,1.5316451e-06,7.74737634e-06
1.08161125e-08,8.34436651e-06,-1.32848402e-06,2.87837776e-09,-4.16411276e-05,-8.28456671e-06,1.66110703e-06,1.6656451e-06,8.44945741e-06
1.17285781e-08,8.97232349e-06,-1.41864552e-06,4.38547332e-09,-4.45294354e-05,-8.90841589e-06,1.776308e-06,1.78117742e-06,9.08378572e-06
1.26409958e-08,8.66673781e-06,-1.35750895e-06,5.61259306e-09,-4.26923434e-05,-8.60551947e-06,1.70300016e-06,1.70769374e-06,8.77241166e-06
1.35077798e-08,8.46748389e-06,-1.31673198e-06,6.66433486e-09,-4.14716051e-05,-8.40805558e-06,1.65428778e-06,1.6588642e-06,8.56925382e-06
1.44201451e-08,8.17987348e-06,-1.26437442e-06,7.24982474e-09,-3.98720622e-05,-8.12276896e-06,1.59047075e-06,1.59488249e-06,8.2770179e-06
1.5332466e-08,7.83266751e-06,-1.20515335e-06,7.16291648e-09,-3.80407037e-05,-7.77820893e-06,1.51741252e-06,1.52162815e-06,7.92484234e-06
1.62450835e-08,8.76887498e-06,-1.39316523e-06,8.04612288e-09,-4.36856135e-05,-8.70614906e-06,1.74271232e-06,1.74742454e-06,8.8788593e-06
1.71122316e-08,1.0169224e-05,-1.613927e-06,9.21722076e-09,-5.0618768e-05,-1.00965498e-05,2.01929652e-06,2.02475072e-06,1.02965024e-05
