time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
0,0,0.00873762928,0,0,0,0,0,0,0.00873762928
9.1510044e-10,2.8828021e-14,0.00873762928,9.91003476e-15,1.89179862e-14,0,0,4.6218385e-12,4.34111839e-14,0.00873762928
1.82760196e-09,1.40232972e-13,0.00873762928,4.4383283e-14,9.58496859e-14,0,0,1.43906579e-11,6.58562492e-14,0.00873762928
2.74010437e-09,3.24110693e-13,0.00873762928,1.02032315e-13,2.22078391e-13,0,0,2.72371257e-11,8.01760934e-14,0.00873762928
3.60697339e-09,5.32680996e-13,0.00873762928,1.70732081e-13,3.61948915e-13,0,0,4.1464044e-11,9.19159497e-14,0.00873762928
4.51944082e-09,7.80770359e-13,0.00873762928,2.5694941e-13,5.23820896e-13,0,0,5.80927875e-11,1.00242677e-13,0.00873762928
5.43189227e-09,1.04827171e-12,0.00873762928,3.53131858e-13,6.95139801e-13,0,0,7.55614668e-11,1.03912498e-13,0.00873762928
6.34433084e-09,1.30184231e-12,0.00873762928,4.47366889e-13,8.54475453e-13,0,0,9.33960478e-11,1.05980647e-13,0.00873762928
7.21112192e-09,1.55638078e-12,0.00873762928,5.32001309e-13,1.02437947e-12,0,0,1.12678894e-10,1.31498369e-13,0.00873762928
8.12350187e-09,1.86322333e-12,0.00873762928,5.99751802e-13,1.26347164e-12,0,0,1.37833231e-10,1.59883229e-13,0.00873762928
9.03586717e-09,2.254145e-12,0.00873762928,6.62684426e-13,1.59146058e-12,0,0,1.68073194e-10,1.90972712e-13,0.00873762928
9.90259785e-09,2.86347356e-12,0.00873762928,7.83688056e-13,2.07978535e-12,0,0,2.03184164e-10,2.37220616e-13,0.00873762928
1.08149258e-08,3.85463406e-12,0.00873762928,1.02052297e-12,2.8341112e-12,0,0,2.46847376e-10,2.62029059e-13,0.00873762928
1.17273062e-08,4.87383007e-12,0.00873762928,1.25198419e-12,3.62184566e-12,0,0,2.94447133e-10,2.89377327e-13,0.00873762928
1.26397346e-08,6.10790585e-12,0.00873762928,1.59303072e-12,4.51487502e-12,0,0,3.46294021e-10,3.10662113e-13,0.00873762928
1.35065727e-08,7.10072669e-12,0.00873762928,1.91351492e-12,5.18721177e-12,0,0,3.94612287e-10,3.11909569e-13,0.00873762928
1.44190242e-08,7.82841673e-12,0.00873762928,2.20457658e-12,5.62384037e-12,0,0,4.43434234e-10,3.13151306e-13,0.00873762928
1.53314357e-08,8.3679591e-12,0.00873762928,2.44620665e-12,5.92175267e-12,0,0,4.90493313e-10,3.14575487e-13,0.00873762928
1.62438187e-08,8.7511734e-12,0.00873762928,2.63467113e-12,6.1165027e-12,0,0,5.35479272e-10,3.16277847e-13,0.00873762928
1.71105494e-08,9.15832948e-12,0.00873762928,2.83996112e-12,6.31836814e-12,0,0,5.80429371e-10,3.5422327e-13,0.00873762928
1.80228596e-08,9.64965087e-12,0.00873762928,2.93925388e-12,6.710397e-12,0,0,6.3573341e-10,4.01020525e-13,0.00873762928
1.89351574e-08,1.03871876e-11,0.00873762928,2.99194502e-12,7.3952424e-12,0,0,6.9886813e-10,4.48090214e-13,0.00873762928
1.98018331e-08,1.19353685e-11,0.00873762928,3.30307721e-12,8.63229106e-12,0,0,7.68042185e-10,5.08788432e-13,0.00873762928
2.07141202e-08,1.4205425e-11,0.00873762928,3.82412027e-12,1.03813043e-11,0,0,8.49180504e-10,5.43520903e-13,0.00873762928
2.16264588e-08,1.67775308e-11,0.00873762928,4.43693563e-12,1.23405947e-11,0,0,9.3715502e-10,5.91671731e-13,0.00873762928
2.25388241e-08,2.01146062e-11,0.00873762928,5.422926e-12,1.46916802e-11,0,0,1.029835e-09,6.1152125e-13,0.00873762928
2.3405617e-08,2.21977159e-11,0.00873762928,6.19530729e-12,1.60024077e-11,0,0,1.11240672e-09,6.14851215e-13,0.00873762928
2.43180001e-08,2.31442244e-11,0.00873762928,6.67484687e-12,1.64693779e-11,0,0,1.19433652e-09,6.18664625e-13,0.00873762928
2.52303192e-08,2.37221475e-11,0.00873762928,7.01660995e-12,1.6705538e-11,0,0,1.27213973e-09,6.24047905e-13,0.00873762928
2.61425992e-08,2.39067047e-11,0.00873762928,7.29291193e-12,1.66137919e-11,0,0,1.34474942e-09,6.30105397e-13,0.00873762928
2.70092215e-08,2.40914112e-11,0.00873762928,7.66686541e-12,1.64245458e-11,0,0,1.41447054e-09,6.79655876e-13,0.00873762928
2.79213968e-08,2.43552713e-11,0.00873762928,7.7709679e-12,1.65843034e-11,0,0,1.49915858e-09,7.46302651e-13,0.00873762928
2.88335507e-08,2.50962948e-11,0.00873762928,7.66416444e-12,1.74321304e-11,0,0,1.59457314e-09,8.16056966e-13,0.00873762928
2.97000824e-08,2.75584451e-11,0.00873762928,8.08251382e-12,1.94759313e-11,0,0,1.69714742e-09,8.96159069e-13,0.00873762928
3.0612231e-08,3.15747636e-11,0.00873762928,9.08674698e-12,2.24880184e-11,0,0,1.81787718e-09,9.4954448e-13,0.00873762928
3.15244364e-08,3.63034429e-11,0.00873762928,1.03493178e-11,2.59541243e-11,0,0,1.94750727e-09,1.01731546e-12,0.00873762928
3.24366951e-08,4.25762758e-11,0.00873762928,1.23628833e-11,3.02133908e-11,0,0,2.08271911e-09,1.04858082e-12,0.00873762928
3.33033974e-08,4.64365282e-11,0.00873762928,1.38961403e-11,3.25403905e-11,0,0,2.2036013e-09,1.05629156e-12,0.00873762928
3.4215784e-08,4.75572047e-11,0.00873762928,1.47112357e-11,3.2845969e-11,0,0,2.32135355e-09,1.0654406e-12,0.00873762928
3.51281706e-08,4.78509107e-11,0.00873762928,1.51476227e-11,3.2703288e-11,0,0,2.43156606e-09,1.07836038e-12,0.00873762928
3.6040543e-08,4.74533711e-11,0.00873762928,1.55024674e-11,3.19509037e-11,0,0,2.53334353e-09,1.09281995e-12,0.00873762928
3.69074478e-08,4.69705386e-11,0.00873762928,1.60387519e-11,3.09317884e-11,0,0,2.62884847e-09,1.15335161e-12,0.00873762928
3.78201044e-08,4.67384569e-11,0.00873762928,1.60670557e-11,3.06713994e-11,0,0,2.74489986e-09,1.24899396e-12,0.00873762928
3.87327717e-08,4.73327766e-11,0.00873762928,1.57013014e-11,3.16314752e-11,0,0,2.8749827e-09,1.34365262e-12,0.00873762928
3.96454105e-08,5.09229707e-11,0.00873762928,1.6303044e-11,3.46199285e-11,0,0,3.01955927e-09,1.4323268e-12,0.00873762928
4.05122904e-08,5.65006375e-11,0.00873762928,1.77373897e-11,3.87632496e-11,0,0,3.17326609e-09,1.52400911e-12,0.00873762928
4.14245989e-08,6.43872108e-11,0.00873762928,1.99348125e-11,4.44523966e-11,0,0,3.34748296e-09,1.61912237e-12,0.00873762928
4.23367048e-08,7.49190432e-11,0.00873762928,2.338418e-11,5.15348632e-11,0,0,3.52722918e-09,1.66169021e-12,0.00873762928
4.32031335e-08,8.08813919e-11,0.00873762928,2.59000599e-11,5.4981332e-11,0,0,3.6859793e-09,1.67735368e-12,0.00873762928
4.41151329e-08,8.19611948e-11,0.00873762928,2.69585586e-11,5.50026344e-11,0,0,3.839419e-09,1.69685425e-12,0.00873762928
4.50269546e-08,8.18095175e-11,0.00873762928,2.75214799e-11,5.42880393e-11,0,0,3.98186106e-09,1.72392916e-12,0.00873762928
