time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
0,0,0,0,0,-0,-0,-0,0
9.1510044e-10,1.39417614e-06,-2.21392924e-07,2.56747193e-11,-6.9466073e-06,-1.38420759e-06,2.76968008e-07,2.77864292e-07,1.41164512e-06
1.82760196e-09,2.09045061e-06,-3.3176056e-07,1.69277703e-10,-1.04108121e-05,-2.07551159e-06,4.15090915e-07,4.16432486e-07,2.11661259e-06
2.74010437e-09,2.52246969e-06,-3.99156932e-07,4.31114366e-10,-1.2533138e-05,-2.50448996e-06,4.99709532e-07,5.01325521e-07,2.55385586e-06
3.60697339e-09,2.87528269e-06,-4.53697339e-07,7.4440043e-10,-1.42538483e-05,-2.85483972e-06,5.6831507e-07,5.70153934e-07,2.91085767e-06
4.51944082e-09,3.1184702e-06,-4.90506011e-07,1.09403453e-09,-1.54202498e-05,-3.09636075e-06,6.14819206e-07,6.16809994e-07,3.15681069e-06
5.43189227e-09,3.21704647e-06,-5.04396723e-07,1.37139677e-09,-1.58672701e-05,-3.19430269e-06,6.32640806e-07,6.34690805e-07,3.25634856e-06
6.34433084e-09,3.26603367e-06,-5.10596408e-07,1.60982483e-09,-1.60718009e-05,-3.24300278e-06,6.40794497e-07,6.42872037e-07,3.30570526e-06
7.21112192e-09,4.09164886e-06,-6.48659238e-07,2.17449481e-09,-2.03590553e-05,-4.06243653e-06,8.11762694e-07,8.14362211e-07,4.14274715e-06
8.12350187e-09,4.97810788e-06,-7.88837895e-07,2.82272605e-09,-2.47608859e-05,-4.94258082e-06,9.87278128e-07,9.90435437e-07,5.04022135e-06
9.03586717e-09,5.95065785e-06,-9.42661245e-07,3.54045548e-09,-2.95909431e-05,-5.90820156e-06,1.17987006e-06,1.18363772e-06,6.02486113e-06
9.90259785e-09,7.40273845e-06,-1.18734522e-06,1.8691928e-09,-3.71776769e-05,-7.3493359e-06,1.48242605e-06,1.48710707e-06,7.49735478e-06
1.08149258e-08,8.13500628e-06,-1.30134777e-06,2.74909007e-09,-4.07688785e-05,-8.07645911e-06,1.62562031e-06,1.63075514e-06,8.23843679e-06
1.17273062e-08,8.97624523e-06,-1.42903696e-06,4.16360368e-09,-4.48125829e-05,-8.91191895e-06,1.78684795e-06,1.79250332e-06,9.08928723e-06
