time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
0,0,0.00873762928,0,0,0,0,0,0,0.00873762928
9.03363273e-10,2.03938689e-12,0.00873762928,4.97401057e-13,1.54198572e-12,0,0,1.53177943e-10,2.26343182e-13,0.00873762928
1.80602311e-09,7.76171315e-12,0.00873762928,1.68861539e-12,6.07309819e-12,0,0,5.37236644e-10,4.15937819e-13,0.00873762928
2.70212497e-09,1.70162235e-11,0.00873762928,3.78720623e-12,1.32290168e-11,0,0,1.12488463e-09,5.76513609e-13,0.00873762928
3.60474495e-09,2.92069424e-11,0.00873762928,6.98641188e-12,2.2220531e-11,0,0,1.88835636e-09,7.12549106e-13,0.00873762928
4.50079574e-09,4.26609512e-11,0.00873762928,1.1666567e-11,3.09943841e-11,0,0,2.78877343e-09,8.24487722e-13,0.00873762928
5.40335643e-09,5.67740993e-11,0.00873762928,1.77368328e-11,3.90372665e-11,0,0,3.80664655e-09,9.06968457e-13,0.00873762928
6.30600949e-09,7.3328156e-11,0.00873762928,2.33236763e-11,5.00044797e-11,0,0,4.96645436e-09,1.08723132e-12,0.00873762928
7.20217841e-09,9.432468e-11,0.00873762928,2.6895805e-11,6.7428875e-11,0,0,6.36854347e-09,1.30580876e-12,0.00873762928
8.10490608e-09,1.21432156e-10,0.00873762928,2.99994959e-11,9.14326601e-11,0,0,8.05501266e-09,1.55263855e-12,0.00873762928
9.00109409e-09,1.59942518e-10,0.00873762928,3.44759464e-11,1.25466568e-10,0,0,1.00367927e-08,1.83941144e-12,0.00873762928
9.90379156e-09,2.11819756e-10,0.00873762928,4.26371716e-11,1.69182585e-10,0,0,1.23984094e-08,2.14939264e-12,0.00873762928
1.08064393e-08,2.76615314e-10,0.00873762928,5.53948415e-11,2.21220486e-10,0,0,1.51318975e-08,2.48683713e-12,0.00873762928
1.17024914e-08,3.2844924e-10,0.00873762928,6.80613135e-11,2.60387933e-10,0,0,1.81365127e-08,2.67570384e-12,0.00873762928
1.26050219e-08,3.72264691e-10,0.00873762928,8.5597987e-11,2.8666669e-10,0,0,2.1303137e-08,2.78540537e-12,0.00873762928
1.35009595e-08,4.10520451e-10,0.00873762928,1.06338015e-10,3.04182457e-10,0,0,2.44948577e-08,2.82501821e-12,0.00873762928
1.44033852e-08,4.42131665e-10,0.00873762928,1.29126279e-10,3.13005372e-10,0,0,2.76795511e-08,2.84690609e-12,0.00873762928
1.53057638e-08,4.66447325e-10,0.00873762928,1.51008983e-10,3.15438314e-10,0,0,3.07712114e-08,2.87249478e-12,0.00873762928
1.62019056e-08,4.9669141e-10,0.00873762928,1.63944788e-10,3.32746608e-10,0,0,3.38688402e-08,3.11493886e-12,0.00873762928
1.71047905e-08,5.46991674e-10,0.00873762928,1.61872696e-10,3.85118992e-10,0,0,3.73540487e-08,3.4447948e-12,0.00873762928
1.80010922e-08,6.16536266e-10,0.00873762928,1.59651042e-10,4.56885252e-10,0,0,4.12094749e-08,3.83848465e-12,0.00873762928
1.89038847e-08,7.06138259e-10,0.00873762928,1.625306e-10,5.43607659e-10,0,0,4.55207747e-08,4.22732899e-12,0.00873762928
1.98000603e-08,8.619227e-10,0.00873762928,1.8714176e-10,6.74780898e-10,0,0,5.03520816e-08,4.77917619e-12,0.00873762928
2.07026876e-08,1.03165509e-09,0.00873762928,2.18239621e-10,8.13415502e-10,0,0,5.57473641e-08,5.27689134e-12,0.00873762928
2.16052118e-08,1.13759113e-09,0.00873762928,2.46027226e-10,8.91563934e-10,0,0,6.14518569e-08,5.5147358e-12,0.00873762928
2.25010908e-08,1.20682109e-09,0.00873762928,2.84975044e-10,9.21846044e-10,0,0,6.71514471e-08,5.61841242e-12,0.00873762928
2.34034232e-08,1.25450816e-09,0.00873762928,3.31957711e-10,9.22550425e-10,0,0,7.27896818e-08,5.72225253e-12,0.00873762928
2.43056739e-08,1.28259359e-09,0.00873762928,3.82467391e-10,9.00126196e-10,0,0,7.82182639e-08,5.8248701e-12,0.00873762928
2.52013201e-08,1.2932615e-09,0.00873762928,4.30026487e-10,8.63234983e-10,0,0,8.33107237e-08,5.93362729e-12,0.00873762928
2.61034394e-08,1.31097466e-09,0.00873762928,4.57175353e-10,8.53799309e-10,0,0,8.83207463e-08,6.2971863e-12,0.00873762928
2.70055445e-08,1.37824585e-09,0.00873762928,4.31655323e-10,9.46590584e-10,0,0,9.38292928e-08,6.79789905e-12,0.00873762928
2.79011338e-08,1.49253077e-09,0.00873762928,4.0978132e-10,1.08274945e-09,0,0,9.97984344e-08,7.35474182e-12,0.00873762928
2.880331e-08,1.64502811e-09,0.00873762928,4.03079597e-10,1.24194854e-09,0,0,1.06317472e-07,7.91010833e-12,0.00873762928
2.97055234e-08,1.93339078e-09,0.00873762928,4.47633236e-10,1.48575763e-09,0,0,1.1358788e-07,8.81935931e-12,0.00873762928
3.06012424e-08,2.25817276e-09,0.00873762928,5.05840259e-10,1.7523325e-09,0,0,1.21517701e-07,9.56364068e-12,0.00873762928
3.15035784e-08,2.45365461e-09,0.00873762928,5.57775215e-10,1.89587923e-09,0,0,1.2989868e-07,9.98902436e-12,0.00873762928
3.24060103e-08,2.54471066e-09,0.00873762928,6.24978402e-10,1.91973215e-09,0,0,1.38221012e-07,1.0206112e-11,0.00873762928
3.33020012e-08,2.58770871e-09,0.00873762928,7.04761693e-10,1.88294691e-09,0,0,1.46227123e-07,1.04264713e-11,0.00873762928
3.42046143e-08,2.59430077e-09,0.00873762928,7.93222266e-10,1.80107862e-09,0,0,1.53891833e-07,1.06793645e-11,0.00873762928
3.51007756e-08,2.56451105e-09,0.00873762928,8.75711004e-10,1.68879999e-09,0,0,1.60991249e-07,1.09470766e-11,0.00873762928
3.60036267e-08,2.54370502e-09,0.00873762928,9.2267638e-10,1.62102864e-09,0,0,1.67844746e-07,1.15308318e-11,0.00873762928
3.69000084e-08,2.62045674e-09,0.00873762928,8.66149374e-10,1.75430737e-09,0,0,1.75329689e-07,1.22907197e-11,0.00873762928
3.78028737e-08,2.78210299e-09,0.00873762928,8.08219602e-10,1.97388328e-09,0,0,1.83492389e-07,1.31543014e-11,0.00873762928
3.8705668e-08,3.00713188e-09,0.00873762928,7.8293888e-10,2.22419283e-09,0,0,1.92265048e-07,1.39610493e-11,0.00873762928
3.96018329e-08,3.42152151e-09,0.00873762928,8.34573244e-10,2.58694821e-09,0,0,2.01890728e-07,1.53486893e-11,0.00873762928
4.05044247e-08,3.98785005e-09,0.00873762928,9.368053e-10,3.05104453e-09,0,0,2.12520035e-07,1.65678981e-11,0.00873762928
4.14003338e-08,4.28705826e-09,0.00873762928,1.01483544e-09,3.27222294e-09,0,0,2.23503008e-07,1.73402161e-11,0.00873762928
4.23025881e-08,4.396703e-09,0.00873762928,1.11509835e-09,3.28160477e-09,0,0,2.3440812e-07,1.78381684e-11,0.00873762928
4.32046754e-08,4.43351977e-09,0.00873762928,1.24283206e-09,3.19068749e-09,0,0,2.44882074e-07,1.83757575e-11,0.00873762928
4.41000871e-08,4.39324754e-09,0.00873762928,1.36796274e-09,3.02528469e-09,0,0,2.54680998e-07,1.89217201e-11,0.00873762928
4.50019293e-08,4.30375735e-09,0.00873762928,1.49271873e-09,2.81103874e-09,0,0,2.63827957e-07,1.95154795e-11,0.00873762928
4.59036649e-08,4.21555324e-09,0.00873762928,1.57654823e-09,2.63900479e-09,0,0,2.72433653e-07,2.04278712e-11,0.00873762928
4.68053187e-08,4.28530766e-09,0.00873762928,1.4750946e-09,2.81021317e-09,0,0,2.81949553e-07,2.16256006e-11,0.00873762928
4.77004924e-08,4.46844828e-09,0.00873763021,1.36067146e-09,3.1077767e-09,0,0,2.92110911e-07,2.28509659e-11,0.00873762928
