time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
0,0,0,0,0,-0,-0,-0,0
9.03363273e-10,4.93718362e-05,-7.83338146e-06,1.76501591e-09,-0.000245722389,-4.90190923e-05,9.80146245e-06,9.82889556e-06,4.99893997e-05
1.80602311e-09,9.03856126e-05,-1.43207017e-05,6.93993707e-09,-0.000449345767,-8.97406384e-05,1.79237071e-05,1.79738307e-05,9.15130674e-05
2.70212497e-09,0.000124705854,-1.97146055e-05,1.73530044e-08,-0.000618869031,-0.000123817728,2.468574e-05,2.47547613e-05,0.000126254568
3.60474495e-09,0.000153610599,-2.42161441e-05,2.66845497e-08,-0.000760610274,-0.00015251934,3.03395593e-05,3.04244109e-05,0.00015550768
4.50079574e-09,0.000177687893,-2.79207725e-05,4.49289068e-08,-0.000877550337,-0.000176429228,3.50040594e-05,3.51020135e-05,0.00017986817
5.40335643e-09,0.000195379689,-3.059558e-05,6.69759999e-08,-0.000962292601,-0.000193999909,3.83842105e-05,3.8491704e-05,0.000197760757
6.30600949e-09,0.000234309002,-3.71393144e-05,9.54666604e-08,-0.00116520375,-0.000232636403,4.64794679e-05,4.660815e-05,0.000237234159
7.20217841e-09,0.000281468034,-4.46101913e-05,1.30900048e-07,-0.00139961275,-0.000279458958,5.58302271e-05,5.59845101e-05,0.000284981298
8.10490608e-09,0.000334257871,-5.29830504e-05,1.56226932e-07,-0.00166225689,-0.000331871744,6.63074193e-05,6.64902758e-05,0.000338431016
9.00109409e-09,0.000394721079,-6.31447401e-05,7.16006241e-08,-0.00197736011,-0.000391880228,7.88788642e-05,7.90944044e-05,0.000399739907
9.90379156e-09,0.000460001378,-7.33998604e-05,9.17720797e-08,-0.00229967455,-0.000456698215,9.17362972e-05,9.19869822e-05,0.000465820583
1.08064393e-08,0.000531904225,-8.43871312e-05,2.00093524e-07,-0.002646985,-0.000528104173,0.000105590126,0.0001058794,0.000538556712
1.17024914e-08,0.000570218137,-8.9815745e-05,2.99025288e-07,-0.00282140053,-0.000566170351,0.000112546546,0.000112856021,0.00057724837
1.26050219e-08,0.000591019518,-9.2382259e-05,3.96459541e-07,-0.00290657301,-0.00058685246,0.00011594284,0.00011626292,0.000598196213
1.35009595e-08,0.00059549656,-9.23796324e-05,4.73540922e-07,-0.00291102729,-0.000591326026,0.000116119249,0.000116441092,0.000602619593
1.44033852e-08,0.00058648386,-9.03486289e-05,5.53465554e-07,-0.00285114418,-0.000582401754,0.000113729459,0.000114045767,0.000593402477
1.53057638e-08,0.00056725688,-8.68651186e-05,5.84806628e-07,-0.00274462905,-0.000563329457,0.000109479861,0.000109785162,0.000573869549
1.62019056e-08,0.000603688648,-9.56324075e-05,6.33949128e-07,-0.003000536,-0.000599381485,0.000119697019,0.00012002144,0.000611216772
1.71047905e-08,0.000669465051,-0.000106037463,7.2689852e-07,-0.00332707888,-0.000664689183,0.000132724106,0.000133083155,0.000677811129
1.80010922e-08,0.000748916878,-0.000118716409,6.86878479e-07,-0.00372427516,-0.000743570435,0.000148570136,0.000148971006,0.000758268124
1.89038847e-08,0.000820919289,-0.000132695684,2.40252433e-07,-0.00414640503,-0.000814956229,0.000165417558,0.000165856201,0.00083157482
1.98000603e-08,0.000927336921,-0.000148799634,3.71207648e-07,-0.00465646666,-0.000920644753,0.000185764196,0.000186258666,0.000939199252
2.07026876e-08,0.00102307263,-0.000162356373,7.3767859e-07,-0.00509207044,-0.00101576176,0.000203138499,0.000203682818,0.00103587535
2.16052118e-08,0.00105778431,-0.000165607329,1.00822558e-06,-0.00520841265,-0.00105031566,0.000207774951,0.000208336506,0.00107067009
2.25010908e-08,0.00106262101,-0.000164236437,1.21493269e-06,-0.00517903594,-0.00105520332,0.000206598572,0.000207161438,0.00107523881
2.34034232e-08,0.00104335602,-0.000159224321,1.43932232e-06,-0.00503428793,-0.00103615418,0.000200820071,0.000201371517,0.00105543652
2.43056739e-08,0.00100282754,-0.000151325003,1.60800926e-06,-0.00479588052,-0.000995974002,0.000191306365,0.000191835221,0.0010141819
2.52013201e-08,0.000946382293,-0.00014147324,1.64633298e-06,-0.00449258229,-0.000939967868,0.000179205274,0.000179703292,0.000956899594
2.61034394e-08,0.000966403168,-0.000152710505,1.63324137e-06,-0.00479355222,-0.000959523357,0.000191234172,0.000191742089,0.000978395752
2.70055445e-08,0.00105120055,-0.000166151396,1.77808829e-06,-0.0052151666,-0.00104371542,0.000208055303,0.000208606664,0.00106425187
2.79011338e-08,0.00114658521,-0.00018150617,1.79528399e-06,-0.00569530856,-0.00113840976,0.000227212163,0.000227812342,0.00116086406
2.880331e-08,0.00123043871,-0.000194744323,1.45064928e-06,-0.0061108931,-0.00122166679,0.000243792973,0.000244435724,0.00124575554
2.97055234e-08,0.0013826756,-0.000223531126,9.98407927e-07,-0.00698414072,-0.00137263075,0.000278644602,0.000279365629,0.00140062807
3.06012424e-08,0.00150308502,-0.000239146015,1.52972166e-06,-0.00749610271,-0.00149231942,0.000299062093,0.000299844109,0.00152199137
3.15035784e-08,0.00154686067,-0.000241427741,2.1046485e-06,-0.00759738637,-0.00153596881,0.000303092552,0.000303895455,0.00156558926
3.24060103e-08,0.00154027995,-0.000235839747,2.43070372e-06,-0.00745108677,-0.00152961681,0.00029724587,0.000298043471,0.00155823253
3.33020012e-08,0.00149840652,-0.000225443044,2.83961322e-06,-0.00714892801,-0.00148819264,0.000285182992,0.00028595712,0.00151527381
3.42046143e-08,0.00142741809,-0.000211229868,3.19794617e-06,-0.0067219534,-0.00141782936,0.000268142406,0.000268878136,0.00144296593
3.51007756e-08,0.00133604254,-0.000195012311,3.09537995e-06,-0.00622427138,-0.00132717543,0.000248283774,0.000248970855,0.00135020333
3.60036267e-08,0.00132881734,-0.000209762802,3.11024883e-06,-0.00658540661,-0.00131936615,0.000262733535,0.000263416264,0.00134527529
3.69000084e-08,0.00142874627,-0.000225586584,3.29121281e-06,-0.00708183227,-0.00141858237,0.000282540751,0.000283273291,0.00144644946
3.78028737e-08,0.00154920947,-0.000245204777,3.35420327e-06,-0.00769382948,-0.00153816469,0.000306960495,0.000307753179,0.0015684982
3.8705668e-08,0.00163679314,-0.000258894142,2.80038444e-06,-0.00812442601,-0.00162513087,0.000324141323,0.00032497704,0.00165714387
3.96018329e-08,0.00183006318,-0.000298436906,1.58309626e-06,-0.00930785201,-0.00181666503,0.000371381196,0.000372314081,0.00185423794
4.05044247e-08,0.00198798487,-0.000317102007,2.55498912e-06,-0.00993393641,-0.001973714,0.000396346551,0.000397357456,0.00201311799
4.14003338e-08,0.00204212428,-0.000317933038,3.65599522e-06,-0.0100094434,-0.00202777687,0.000399341916,0.000400377735,0.00206672842
4.23025881e-08,0.0020246678,-0.000307390466,4.25863027e-06,-0.00972835347,-0.00201075594,0.000388109704,0.000389134139,0.00204787371
4.32046754e-08,0.0019558419,-0.000289944059,4.86701174e-06,-0.00922280271,-0.00194268277,0.00036792495,0.000368912108,0.00197722249
4.41000871e-08,0.0018616193,-0.000270179851,5.21890479e-06,-0.00863364991,-0.00184932589,0.000344408652,0.000345345996,0.00188113019
4.50019293e-08,0.00173359911,-0.000247315707,5.19129753e-06,-0.00793285388,-0.00172232243,0.000316443356,0.000317314155,0.00175115902
4.59036649e-08,0.00168340176,-0.000265340175,4.95272798e-06,-0.00833227672,-0.00167144444,0.000332446047,0.000333291069,0.00170419231
4.68053187e-08,0.00180625811,-0.000284877751,5.15515785e-06,-0.00894464273,-0.00179342122,0.000356880939,0.000357785709,0.00182859243
4.77004924e-08,0.00193568959,-0.000305848429,5.23830704e-06,-0.00959945749,-0.00192191057,0.000383010721,0.0003839783,0.00195971041
4.86022991e-08,0.00206647324,-0.000327146263,5.43973601e-06,-0.0102638053,-0.00205173792,0.00040952147,0.000410552211,0.00209221556
4.95041839e-08,0.00226493063,-0.000372795505,2.57369948e-06,-0.0116049601,-0.00224821109,0.000463070376,0.000464198403,0.00229540713
5.04061255e-08,0.0024518664,-0.000393221038,3.78292134e-06,-0.0123043247,-0.00243418052,0.000490955008,0.000492172986,0.00248320074
5.1301658e-08,0.00253522187,-0.000394438335,5.09150868e-06,-0.012419018,-0.00251742063,0.000495504661,0.000496760719,0.00256572747
5.22038235e-08,0.00250978745,-0.000378391676,6.48927835e-06,-0.0119923465,-0.00249264825,0.000478453732,0.00047969386,0.00253815984
5.31058042e-08,0.0024222387,-0.000354556832,6.80130597e-06,-0.0113082668,-0.00240612268,0.000451136938,0.000452330671,0.00244805987
5.40011023e-08,0.002295885,-0.000327072048,7.9870224e-06,-0.0104937479,-0.00228096915,0.000418621338,0.000419749916,0.0023190791
5.49028023e-08,0.00213540858,-0.000297543185,7.55147539e-06,-0.00959364511,-0.00212180192,0.00038269875,0.000383745804,0.00215605166
5.58044029e-08,0.00202123681,-0.000318085949,7.61054798e-06,-0.00999125373,-0.00200689999,0.000398659429,0.000399650149,0.00204612679
5.67058471e-08,0.00216885074,-0.000341186562,8.18151511e-06,-0.0107176322,-0.00215347207,0.000427644546,0.00042870529,0.00219553837
5.76008361e-08,0.00232424191,-0.000366827851,7.57891075e-06,-0.0115153417,-0.00230771356,0.000459479315,0.000460613668,0.00235302371
5.85024793e-08,0.00249301549,-0.000394544302,7.47191962e-06,-0.0123784207,-0.00247524378,0.000493922738,0.000495136827,0.00252405374
5.94042042e-08,0.00267514447,-0.000444510137,3.02593776e-06,-0.0138108199,-0.00265522897,0.000551131822,0.000552432798,0.00271182528
6.03060073e-08,0.00290861819,-0.000469814811,4.87018588e-06,-0.0146790855,-0.00288750402,0.000585752714,0.000587163419,0.00294632134
6.12014119e-08,0.00302990316,-0.000471903681,7.09678761e-06,-0.0148538854,-0.00300860845,0.000592690018,0.000594155416,0.00306644038
6.21035525e-08,0.00300650648,-0.000451117579,8.75502246e-06,-0.0143108731,-0.0029860617,0.000570984926,0.000572434925,0.00304017515
6.30058778e-08,0.00290034572,-0.000419966964,9.64267292e-06,-0.0134252207,-0.00288123155,0.000535613929,0.000537008829,0.00293060924
6.39018296e-08,0.00274180924,-0.000383939041,1.06187181e-05,-0.0123647535,-0.00272426261,0.000493275057,0.000494590141,0.00276858083
6.48044889e-08,0.00254878704,-0.0003472112,1.09982393e-05,-0.0112519255,-0.00253286354,0.000448857765,0.00045007702,0.00257235145
6.57007462e-08,0.00233472418,-0.000367468689,1.03355969e-05,-0.0115413927,-0.00231816182,0.000460538818,0.000461655706,0.00236348832
6.66035831e-08,0.00252995966,-0.000397671858,1.06797888e-05,-0.012493317,-0.00251203333,0.000498525165,0.000499732681,0.00256104526
6.75000251e-08,0.00271495944,-0.000428989733,1.05785584e-05,-0.013462726,-0.00269563275,0.000537216008,0.000538509041,0.0027486631
