time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
0,0,0.00873762928,0,0,0,0,0,0,0.00873762928
9.03374597e-10,1.97691061e-12,0.00873762928,5.11110793e-13,1.46579992e-12,0,0,1.45612758e-10,2.19541751e-13,0.00873762928
1.8060331e-09,8.04998602e-12,0.00873762928,1.76550506e-12,6.28448118e-12,0,0,5.30440636e-10,4.23112175e-13,0.00873762928
2.70214739e-09,1.7921194e-11,0.00873762928,3.9397461e-12,1.39814479e-11,0,0,1.13965815e-09,6.03880335e-13,0.00873762928
3.6047938e-09,3.10781505e-11,0.00873762928,7.3688668e-12,2.37092845e-11,0,0,1.95022087e-09,7.60674022e-13,0.00873762928
4.50088278e-09,4.57345897e-11,0.00873762928,1.23635694e-11,3.33710212e-11,0,0,2.91915647e-09,8.89344208e-13,0.00873762928
5.40349188e-09,6.13303991e-11,0.00873762928,1.89181604e-11,4.24122369e-11,0,0,4.0224819e-09,9.83623122e-13,0.00873762928
6.30608321e-09,7.71847447e-11,0.00873762928,2.66192294e-11,5.05655136e-11,0,0,5.20823651e-09,1.03895766e-12,0.00873762928
7.2021149e-09,9.63174124e-11,0.00873762928,3.2191215e-11,6.41262043e-11,0,0,6.53575416e-09,1.23822166e-12,0.00873762928
8.10467959e-09,1.20557841e-10,0.00873762928,3.53624595e-11,8.51953785e-11,0,0,8.12621614e-09,1.46598478e-12,0.00873762928
9.00069708e-09,1.52489923e-10,0.00873762928,3.88932567e-11,1.13596667e-10,0,0,9.99190419e-09,1.73108511e-12,0.00873762928
9.90324978e-09,2.01871617e-10,0.00873762928,4.62635381e-11,1.55608068e-10,0,0,1.22308608e-08,2.05336681e-12,0.00873762928
1.08058025e-08,2.64698236e-10,0.00873762928,5.71450109e-11,2.07553238e-10,0,0,1.48672745e-08,2.40868198e-12,0.00873762928
1.17018208e-08,3.38181982e-10,0.00873762928,7.25441998e-11,2.6563779e-10,0,0,1.78768591e-08,2.76971957e-12,0.00873762928
1.26043886e-08,3.91906424e-10,0.00873762928,8.83548859e-11,3.03551517e-10,0,0,2.11662794e-08,2.94215086e-12,0.00873762928
1.35004186e-08,4.36872677e-10,0.00873762928,1.09621992e-10,3.27250671e-10,0,0,2.4544585e-08,3.04065779e-12,0.00873762928
1.44029508e-08,4.74642603e-10,0.00873762928,1.34088504e-10,3.40554085e-10,0,0,2.79561903e-08,3.07789384e-12,0.00873762928
1.53054476e-08,5.0445359e-10,0.00873762928,1.59665114e-10,3.44788476e-10,0,0,3.12963309e-08,3.11207852e-12,0.00873762928
1.62013709e-08,5.25966104e-10,0.00873762928,1.84151097e-10,3.41815021e-10,0,0,3.44816513e-08,3.14941541e-12,0.00873762928
1.7103801e-08,5.59365332e-10,0.00873762928,1.94316285e-10,3.65049019e-10,0,0,3.7773507e-08,3.4397513e-12,0.00873762928
1.80062276e-08,6.12455142e-10,0.00873762928,1.87973095e-10,4.24482061e-10,0,0,4.14370902e-08,3.79997986e-12,0.00873762928
1.89021154e-08,6.93384572e-10,0.00873762928,1.85043023e-10,5.08341536e-10,0,0,4.54963782e-08,4.23106645e-12,0.00873762928
1.98045509e-08,8.0126844e-10,0.00873762928,1.97153557e-10,6.04114925e-10,0,0,5.00631359e-08,4.72951626e-12,0.00873762928
2.07004511e-08,9.8511399e-10,0.00873762928,2.27973515e-10,7.57140461e-10,0,0,5.52183614e-08,5.33629434e-12,0.00873762928
2.16029079e-08,1.16824761e-09,0.00873762928,2.64389843e-10,9.03857766e-10,0,0,6.09405788e-08,5.84335965e-12,0.00873762928
2.25053771e-08,1.2707797e-09,0.00873762928,2.99492459e-10,9.71287273e-10,0,0,6.69272282e-08,6.07700869e-12,0.00873762928
2.34012205e-08,1.33702815e-09,0.00873762928,3.46753098e-10,9.90275084e-10,0,0,7.28637986e-08,6.18559847e-12,0.00873762928
2.43035192e-08,1.38109857e-09,0.00873762928,4.01529393e-10,9.79569093e-10,0,0,7.86886147e-08,6.30705991e-12,0.00873762928
2.52057397e-08,1.40087009e-09,0.00873762928,4.58298816e-10,9.42571243e-10,0,0,8.42435455e-08,6.4429473e-12,0.00873762928
2.61013611e-08,1.40166845e-09,0.00873762928,5.08678766e-10,8.92989738e-10,0,0,8.94060932e-08,6.58266844e-12,0.00873762928
2.70034555e-08,1.42491585e-09,0.00873762928,5.23527555e-10,9.01388297e-10,0,0,9.45858289e-08,7.01177267e-12,0.00873762928
2.79055534e-08,1.49881141e-09,0.00873762928,4.89232321e-10,1.00957909e-09,0,0,1.00269823e-07,7.53945344e-12,0.00873762928
2.88011357e-08,1.62637037e-09,0.00873762928,4.65550209e-10,1.16082011e-09,0,0,1.06443757e-07,8.14240515e-12,0.00873762928
2.97032994e-08,1.82553972e-09,0.00873762928,4.80043283e-10,1.34549649e-09,0,0,1.13281097e-07,8.9189784e-12,0.00873762928
3.0605495e-08,2.15552354e-09,0.00873762928,5.33112554e-10,1.62241109e-09,0,0,1.20982705e-07,9.8529674e-12,0.00873762928
3.15012016e-08,2.51562238e-09,0.00873762928,6.07252471e-10,1.90836991e-09,0,0,1.29317073e-07,1.0640766e-11,0.00873762928
3.24035376e-08,2.67940337e-09,0.00873762928,6.61160071e-10,2.01824335e-09,0,0,1.37995997e-07,1.10109838e-11,0.00873762928
3.33059695e-08,2.76042655e-09,0.00873762928,7.46723905e-10,2.01370276e-09,0,0,1.46557753e-07,1.12444489e-11,0.00873762928
3.42019355e-08,2.79098478e-09,0.00873762928,8.34057989e-10,1.95692684e-09,0,0,1.54742594e-07,1.15230889e-11,0.00873762928
3.51045095e-08,2.78137602e-09,0.00873762928,9.30438671e-10,1.85093729e-09,0,0,1.62501252e-07,1.18342497e-11,0.00873762928
3.60005963e-08,2.73450795e-09,0.00873762928,1.01645015e-09,1.7180577e-09,0,0,1.69621842e-07,1.21682343e-11,0.00873762928
3.69031987e-08,2.71804668e-09,0.00873762928,1.03988818e-09,1.6781585e-09,0,0,1.7663443e-07,1.28294059e-11,0.00873762928
3.78057479e-08,2.80434764e-09,0.00873762928,9.61882685e-10,1.84246507e-09,0,0,1.84334482e-07,1.3611258e-11,0.00873762928
3.87017778e-08,2.97294678e-09,0.00873762928,9.00039543e-10,2.07290718e-09,0,0,1.92611481e-07,1.44943987e-11,0.00873762928
3.96043944e-08,3.23748495e-09,0.00873762928,9.00940822e-10,2.33654429e-09,0,0,2.01686689e-07,1.55968589e-11,0.00873762928
